Date,High,Low,Open,Close,Volume,Adj Close
2018-02-27,254.0,230.0,230.0,253.5,14659103.0,247.6323699951172
2018-02-28,260.0,257.0,259.0,258.0,245455.0,252.02821350097656
2018-03-01,264.0,262.0,262.0,263.0,558004.0,256.9124755859375
2018-03-02,270.0,262.0,269.0,265.0,1726061.0,258.8661804199219
2018-03-05,270.0,262.0,266.0,268.0,426859.0,261.7967529296875
2018-03-06,270.0,264.0,270.0,262.5,428321.0,256.4240417480469
2018-03-07,261.0,261.0,261.0,261.0,437126.0,254.95877075195312
2018-03-08,271.0,265.0,265.0,266.0,289749.0,259.8430480957031
2018-03-09,273.0,268.0,268.0,270.0,247623.0,263.7504577636719
2018-03-12,285.0,272.0,272.0,285.0,139309.0,278.40325927734375
2018-03-13,285.0,270.0,275.0,280.0,1881817.0,273.51898193359375
2018-03-14,285.0,271.0,285.0,274.0,86447.0,267.6578674316406
2018-03-15,275.0,265.0,265.0,270.0,260071.0,263.7504577636719
2018-03-16,268.0,268.0,268.0,268.0,49498.0,261.7967529296875
2018-03-19,270.0,263.0,267.0,270.0,69286.0,263.7504577636719
2018-03-20,270.0,265.0,265.0,267.0,208372.0,260.81988525390625
2018-03-21,270.0,265.0,266.0,267.0,765415.0,260.81988525390625
2018-03-22,270.0,266.0,266.0,267.0,335936.0,260.81988525390625
2018-03-23,265.0,262.0,265.0,263.0,539339.0,256.9124755859375
2018-03-26,268.0,256.0,266.0,267.0,579960.0,260.81988525390625
2018-03-27,265.0,255.0,255.0,263.0,763169.0,256.9124755859375
2018-03-28,263.0,258.0,260.0,260.0,316552.0,253.98191833496094
2018-03-29,260.0,255.0,258.0,257.0,276077.0,251.05136108398438
2018-04-03,260.0,257.0,260.0,259.0,287964.0,253.00506591796875
2018-04-04,260.0,255.0,260.0,260.0,583663.0,253.98191833496094
2018-04-05,260.0,256.0,260.0,259.0,224859.0,253.00506591796875
2018-04-06,260.0,254.0,260.0,259.0,3279815.0,253.00506591796875
2018-04-09,259.0,254.0,255.0,258.0,1359212.0,252.02821350097656
2018-04-10,279.0,256.0,258.0,259.5,136147.0,253.49349975585938
2018-04-11,264.0,255.0,264.0,259.0,1127564.0,253.00506591796875
2018-04-12,261.0,260.0,260.0,259.5,214207.0,253.49349975585938
2018-04-13,260.0,256.0,256.0,260.0,93628.0,253.98191833496094
2018-04-16,269.0,258.0,260.0,267.0,305595.0,260.81988525390625
2018-04-17,270.0,262.0,262.0,269.0,224313.0,262.7735900878906
2018-04-18,270.0,267.0,267.0,268.0,382241.0,261.7967529296875
2018-04-19,269.0,265.0,269.0,268.0,895988.0,261.7967529296875
2018-04-20,269.0,265.0,267.0,268.0,412904.0,261.7967529296875
2018-04-23,275.0,266.0,266.0,274.0,448498.0,267.6578674316406
2018-04-24,270.0,267.0,270.0,270.0,298988.0,263.7504577636719
2018-04-25,275.0,266.0,268.0,274.0,450705.0,267.6578674316406
2018-04-26,282.0,272.0,272.0,282.0,897649.0,275.4726867675781
2018-04-27,284.0,279.0,280.0,284.0,46314.0,277.4264221191406
2018-04-30,288.0,281.0,281.0,286.0,557493.0,279.380126953125
2018-05-01,298.0,286.0,286.0,296.0,352450.0,289.1486511230469
2018-05-02,295.0,291.0,294.0,291.0,1009014.0,284.2643737792969
2018-05-03,295.0,292.0,293.0,293.0,198632.0,286.21807861328125
2018-05-04,293.0,285.0,289.0,285.0,135163.0,278.40325927734375
2018-05-08,299.0,290.0,294.0,297.0,385422.0,290.1255187988281
2018-05-09,303.0,291.0,294.0,302.0,387883.0,295.009765625
2018-05-10,313.0,295.0,295.0,308.0,490912.0,300.8708801269531
2018-05-11,312.0,305.0,310.0,312.0,497860.0,304.7783203125
2018-05-14,345.0,312.0,312.0,345.0,1054153.0,337.01446533203125
2018-05-15,342.0,327.0,341.0,331.0,1238602.0,323.3385314941406
2018-05-16,349.0,326.0,332.0,341.0,502104.0,333.1070556640625
2018-05-17,341.0,335.0,340.0,341.0,533707.0,333.1070556640625
2018-05-18,360.0,332.0,332.0,360.0,2503734.0,351.6672668457031
2018-05-21,373.0,353.0,354.0,360.0,870834.0,351.6672668457031
2018-05-22,362.0,357.0,360.0,360.0,732981.0,351.6672668457031
2018-05-23,365.0,358.0,358.0,361.0,1508589.0,352.6441345214844
2018-05-24,368.0,358.0,360.0,364.0,1611245.0,355.57470703125
2018-05-25,370.0,362.0,370.0,365.0,609772.0,356.5515441894531
2018-05-29,369.0,354.0,362.0,360.0,976863.0,351.6672668457031
2018-05-30,361.0,353.0,355.0,360.0,1549520.0,351.6672668457031
2018-05-31,360.0,348.0,356.0,360.0,7379557.0,351.6672668457031
2018-06-01,363.0,359.0,360.0,360.0,2931131.0,351.6672668457031
2018-06-04,371.0,359.0,361.0,365.0,945982.0,356.5515441894531
2018-06-05,365.0,363.0,364.0,364.0,1912428.0,355.57470703125
2018-06-06,369.0,362.0,369.0,364.0,554783.0,355.57470703125
2018-06-07,374.0,363.0,363.0,369.0,814159.0,360.4589538574219
2018-06-08,370.0,362.0,364.0,365.0,472586.0,356.5515441894531
2018-06-11,377.0,367.0,368.0,375.0,1891218.0,366.320068359375
2018-06-12,386.0,370.0,376.0,386.0,2759537.0,377.0654602050781
2018-06-13,391.0,378.0,385.0,383.0,1280158.0,374.1349182128906
2018-06-14,386.0,371.0,382.0,378.0,1301397.0,369.2506408691406
2018-06-15,381.0,369.0,376.0,375.0,16913933.0,366.320068359375
2018-06-18,379.0,356.0,375.0,360.0,845734.0,351.6672668457031
2018-06-19,359.0,343.0,354.0,353.0,439138.0,344.8293151855469
2018-06-20,361.0,354.0,357.0,356.0,376062.0,347.7598571777344
2018-06-21,361.0,348.0,361.0,350.0,324838.0,341.89874267578125
2018-06-22,358.0,343.0,354.0,348.0,648973.0,339.9450378417969
2018-06-25,349.0,343.0,348.0,346.0,443524.0,337.9913330078125
2018-06-26,360.0,344.0,350.0,351.0,746898.0,342.8756103515625
2018-06-27,356.0,342.0,352.0,353.0,745132.0,344.8293151855469
2018-06-28,357.0,346.0,346.0,350.0,447947.0,341.89874267578125
2018-06-29,360.0,348.0,354.0,360.0,610662.0,351.6672668457031
2018-07-02,367.0,356.0,367.0,364.0,505727.0,355.57470703125
2018-07-03,371.0,361.0,367.0,366.0,486258.0,357.5284118652344
2018-07-04,387.0,366.0,368.0,384.0,626878.0,375.11175537109375
2018-07-05,392.0,382.0,384.0,383.0,931611.0,374.1349182128906
2018-07-06,387.0,374.0,383.0,384.0,407709.0,375.11175537109375
2018-07-09,396.0,374.0,374.0,394.0,342767.0,384.88031005859375
2018-07-10,395.0,380.0,395.0,385.0,743771.0,376.088623046875
2018-07-11,391.0,378.0,384.0,386.0,607571.0,377.0654602050781
2018-07-12,395.0,386.0,388.0,393.0,393648.0,383.9034423828125
2018-07-13,395.0,388.0,395.0,395.0,400979.0,385.8571472167969
2018-07-16,400.0,391.0,399.0,392.0,363947.0,382.9266052246094
2018-07-17,400.0,394.0,400.0,400.0,135721.0,390.7414245605469
2018-07-18,409.0,396.0,409.0,401.0,445989.0,391.71826171875
2018-07-19,399.0,383.0,396.0,389.0,228705.0,379.99603271484375
2018-07-20,395.0,382.0,395.0,388.0,458151.0,379.0191650390625
2018-07-23,389.0,382.0,383.0,385.0,150778.0,376.088623046875
2018-07-24,393.0,382.0,385.0,388.0,475990.0,379.0191650390625
2018-07-25,388.0,383.0,388.0,383.0,296167.0,374.1349182128906
2018-07-26,386.0,380.0,385.0,386.0,313824.0,377.0654602050781
2018-07-27,386.0,379.0,386.0,385.0,242057.0,376.088623046875
2018-07-30,385.0,376.0,385.0,380.0,370674.0,371.204345703125
2018-07-31,381.0,374.0,381.0,375.0,283776.0,366.320068359375
2018-08-01,391.0,367.0,367.0,390.0,458720.0,380.9728698730469
2018-08-02,389.0,375.0,389.0,381.0,208792.0,372.18121337890625
2018-08-03,390.0,375.0,390.0,375.0,209936.0,366.320068359375
2018-08-06,384.0,373.0,376.0,381.0,477379.0,372.18121337890625
2018-08-07,392.0,378.0,385.0,380.0,279275.0,371.204345703125
2018-08-08,380.0,370.0,380.0,374.0,169497.0,365.3432312011719
2018-08-09,380.0,369.0,379.0,374.0,349137.0,365.3432312011719
2018-08-10,374.0,358.0,372.0,365.0,197892.0,356.5515441894531
2018-08-13,368.0,356.0,365.0,366.0,132128.0,357.5284118652344
2018-08-14,368.0,358.0,368.0,365.0,341140.0,356.5515441894531
2018-08-15,366.0,358.0,366.0,359.0,1328089.0,350.6904296875
2018-08-16,360.0,357.0,359.0,360.0,194554.0,351.6672668457031
2018-08-17,360.0,352.0,360.0,356.0,586318.0,347.7598571777344
2018-08-20,355.0,352.0,354.0,354.0,394708.0,345.80615234375
2018-08-21,378.0,348.0,348.0,374.0,650028.0,365.3432312011719
2018-08-22,372.0,366.0,370.0,367.0,166471.0,358.5052490234375
2018-08-23,367.0,361.0,363.0,362.0,529525.0,353.6209716796875
2018-08-24,369.0,362.0,369.0,363.0,1420094.0,354.59783935546875
2018-08-28,371.0,363.0,369.0,369.0,1210982.0,360.4589538574219
2018-08-29,375.0,363.0,375.0,365.0,530237.0,356.5515441894531
2018-08-30,369.0,360.0,366.0,361.0,440140.0,352.6441345214844
2018-08-31,365.0,357.0,365.0,360.0,536932.0,351.6672668457031
2018-09-03,363.0,359.0,360.0,359.0,198520.0,350.6904296875
2018-09-04,364.0,351.0,364.0,354.0,221777.0,345.80615234375
2018-09-05,358.0,352.0,356.0,354.0,1577143.0,345.80615234375
2018-09-06,357.0,352.0,355.0,356.0,770304.0,347.7598571777344
2018-09-07,357.0,351.0,357.0,354.0,409834.0,345.80615234375
2018-09-10,369.0,350.0,350.0,364.0,475202.0,355.57470703125
2018-09-11,365.0,356.0,365.0,360.0,821694.0,351.6672668457031
2018-09-12,363.0,356.0,363.0,359.0,409371.0,350.6904296875
2018-09-13,359.0,351.0,356.0,353.0,565103.0,344.8293151855469
2018-09-14,356.0,350.0,352.0,355.0,590202.0,346.78302001953125
2018-09-17,360.0,356.0,360.0,359.0,443201.0,350.6904296875
2018-09-18,367.0,358.0,361.0,360.0,726928.0,351.6672668457031
2018-09-19,364.0,353.0,353.0,359.0,473194.0,350.6904296875
2018-09-20,360.0,357.0,360.0,357.0,375052.0,348.7367248535156
2018-09-21,366.0,355.0,355.0,363.0,8949480.0,354.59783935546875
2018-09-24,363.0,359.0,362.0,361.0,459628.0,352.6441345214844
2018-09-25,365.0,361.0,361.0,363.0,95855.0,354.59783935546875
2018-09-26,370.0,357.0,370.0,359.0,173169.0,350.6904296875
2018-09-27,363.0,358.0,363.0,360.0,328449.0,351.6672668457031
2018-09-28,361.0,355.0,361.0,355.0,524545.0,346.78302001953125
2018-10-01,361.0,354.0,361.0,358.0,319825.0,349.71356201171875
2018-10-02,362.0,356.0,362.0,359.0,566533.0,350.6904296875
2018-10-03,362.0,357.0,362.0,358.0,640022.0,349.71356201171875
2018-10-04,361.0,351.0,361.0,354.0,458775.0,345.80615234375
2018-10-05,355.0,350.0,354.0,353.0,140692.0,344.8293151855469
2018-10-08,354.0,349.0,354.0,350.0,228033.0,341.89874267578125
2018-10-09,352.0,334.0,345.0,341.0,1688820.0,333.1070556640625
2018-10-10,339.0,325.0,339.0,326.0,756376.0,318.4542541503906
2018-10-11,325.0,319.0,325.0,319.0,1086087.0,311.61627197265625
2018-10-12,328.0,319.0,319.0,321.0,1412371.0,313.5699768066406
2018-10-15,323.0,317.0,318.0,318.0,513659.0,310.6394348144531
2018-10-16,322.0,311.0,320.0,320.0,321907.0,312.5931396484375
2018-10-17,333.0,315.0,315.0,327.0,799857.0,319.4311218261719
2018-10-18,330.0,322.0,322.0,324.0,828401.0,316.50054931640625
2018-10-19,326.0,317.0,326.0,319.0,266395.0,311.61627197265625
2018-10-22,320.0,312.0,320.0,312.0,166832.0,304.7783203125
2018-10-23,311.0,285.0,311.0,285.0,1435247.0,278.40325927734375
2018-10-24,287.0,268.0,285.0,280.0,905665.0,273.51898193359375
2018-10-25,287.0,266.0,273.0,280.0,908241.0,273.51898193359375
2018-10-26,279.0,271.0,273.0,275.0,587259.0,268.6347351074219
2018-10-29,280.0,270.0,277.0,274.0,324729.0,267.6578674316406
2018-10-30,275.0,267.0,274.0,269.0,614150.0,262.7735900878906
2018-10-31,280.0,262.0,263.0,270.0,333572.0,263.7504577636719
2018-11-01,290.0,274.0,279.0,289.0,734325.0,282.3106689453125
2018-11-02,298.0,286.0,296.0,291.0,448372.0,284.2643737792969
2018-11-05,293.0,282.0,286.0,283.0,115314.0,276.4495544433594
2018-11-06,296.0,280.0,290.0,286.0,692137.0,279.380126953125
2018-11-07,291.0,281.0,286.0,288.0,5104060.0,281.3338317871094
2018-11-08,296.0,280.0,280.0,295.0,309034.0,288.1717834472656
2018-11-09,297.0,288.0,294.0,290.0,202256.0,283.28753662109375
2018-11-12,296.0,278.0,296.0,287.0,284306.0,280.3569641113281
2018-11-13,291.0,285.0,291.0,289.8999938964844,200634.0,283.1898498535156
2018-11-14,292.0,285.70001220703125,289.20001220703125,290.0,216354.0,283.28753662109375
2018-11-15,290.95001220703125,270.75,282.6499938964844,286.95001220703125,396580.0,280.3081359863281
2018-11-16,290.8999938964844,278.3500061035156,288.0,288.3999938964844,174724.0,281.72454833984375
2018-11-19,289.95001220703125,283.5,287.0,288.04998779296875,184829.0,281.3826599121094
2018-11-20,288.0,277.8500061035156,288.0,287.95001220703125,266086.0,281.2850036621094
2018-11-21,300.29998779296875,284.0,284.0,300.29998779296875,282131.0,293.34912109375
2018-11-22,300.5,290.04998779296875,300.5,294.20001220703125,183022.0,287.39031982421875
2018-11-23,298.0,294.1000061035156,294.1000061035156,296.29998779296875,128531.0,289.4416809082031
2018-11-26,304.95001220703125,297.0,298.0,301.25,239654.0,294.2771301269531
2018-11-27,309.6000061035156,300.0,302.0,306.6000061035156,407109.0,299.5032958984375
2018-11-28,310.0,305.5,305.5,310.0,365719.0,302.8246154785156
2018-11-29,310.0,276.6000061035156,310.0,296.1499938964844,428991.0,289.295166015625
2018-11-30,305.29998779296875,291.3999938964844,304.95001220703125,304.75,235859.0,297.69610595703125
2018-12-03,309.6499938964844,293.75,305.3500061035156,295.6000061035156,120207.0,288.7579040527344
2018-12-04,300.95001220703125,294.0,294.0,296.3999938964844,329328.0,289.5393981933594
2018-12-05,297.25,286.75,293.70001220703125,287.5,318386.0,280.84539794921875
2018-12-06,292.0,280.0,292.0,283.54998779296875,193347.0,276.98681640625
2018-12-07,288.0,275.20001220703125,275.20001220703125,280.0,284483.0,273.51898193359375
2018-12-10,288.3999938964844,275.0,286.0,280.0,139679.0,273.51898193359375
2018-12-11,291.54998779296875,279.0,286.6499938964844,279.6499938964844,181533.0,273.1770935058594
2018-12-12,281.0,275.0,281.0,279.20001220703125,253456.0,272.7375183105469
2018-12-13,281.0,267.95001220703125,281.0,279.04998779296875,885625.0,272.5909729003906
